Date,Time,Values
21/01/2011,15:00:00,NA
21/01/2011,16:00:00,NA
24/01/2011,11:00:00,NA
31/01/2011,10:00:00,NA
31/01/2011,11:00:00,NA
31/01/2011,12:00:00,NA
31/01/2011,13:00:00,NA
31/01/2011,14:00:00,NA
31/01/2011,15:00:00,NA
31/01/2011,16:00:00,NA
31/01/2011,17:00:00,NA
01/02/2011,13:00:00,0.38
01/02/2011,14:00:00,0.40
01/02/2011,15:00:00,0.39
01/02/2011,16:00:00,0.34
01/02/2011,17:00:00,0.22
01/02/2011,18:00:00,0.08
01/02/2011,19:00:00,0.06
01/02/2011,20:00:00,0.06
01/02/2011,21:00:00,0.06
01/02/2011,22:00:00,0.06
01/02/2011,23:00:00,0.06
02/02/2011,00:00:00,0.06
02/02/2011,01:00:00,0.06
02/02/2011,02:00:00,0.06
02/02/2011,03:00:00,0.06
02/02/2011,04:00:00,0.06
02/02/2011,05:00:00,0.06
02/02/2011,06:00:00,0.06
02/02/2011,07:00:00,0.06
02/02/2011,08:00:00,0.06
02/02/2011,09:00:00,0.10
02/02/2011,10:00:00,0.22
02/02/2011,11:00:00,0.21
02/02/2011,12:00:00,0.30
02/02/2011,13:00:00,0.29
02/02/2011,14:00:00,0.41
02/02/2011,15:00:00,0.33
02/02/2011,16:00:00,0.21
02/02/2011,17:00:00,0.12
02/02/2011,18:00:00,0.06
02/02/2011,19:00:00,0.06
02/02/2011,20:00:00,0.06
02/02/2011,21:00:00,0.06
02/02/2011,22:00:00,0.06
02/02/2011,23:00:00,0.06
03/02/2011,00:00:00,0.06
03/02/2011,01:00:00,0.06
03/02/2011,02:00:00,0.06
03/02/2011,03:00:00,0.06
03/02/2011,04:00:00,0.06
03/02/2011,05:00:00,0.06
03/02/2011,06:00:00,0.06
03/02/2011,07:00:00,0.06
03/02/2011,08:00:00,0.06
03/02/2011,09:00:00,0.09
03/02/2011,10:00:00,0.09
03/02/2011,11:00:00,0.10
03/02/2011,12:00:00,0.13
03/02/2011,13:00:00,0.22
03/02/2011,14:00:00,0.21
03/02/2011,15:00:00,0.30
03/02/2011,16:00:00,0.26
03/02/2011,17:00:00,0.16
03/02/2011,18:00:00,0.06
03/02/2011,19:00:00,0.06
03/02/2011,20:00:00,0.06
03/02/2011,21:00:00,0.06
03/02/2011,22:00:00,0.06
03/02/2011,23:00:00,0.06
04/02/2011,00:00:00,0.06
04/02/2011,01:00:00,0.06
04/02/2011,02:00:00,0.06
04/02/2011,03:00:00,0.06
04/02/2011,04:00:00,0.06
04/02/2011,05:00:00,0.06
04/02/2011,06:00:00,0.06
04/02/2011,07:00:00,0.06
04/02/2011,08:00:00,0.06
04/02/2011,09:00:00,0.07
04/02/2011,10:00:00,0.07
04/02/2011,11:00:00,0.09
04/02/2011,12:00:00,0.20
04/02/2011,13:00:00,0.20
04/02/2011,14:00:00,0.23
04/02/2011,15:00:00,0.17
04/02/2011,16:00:00,0.14
04/02/2011,17:00:00,0.07
04/02/2011,18:00:00,0.06
04/02/2011,19:00:00,0.06
04/02/2011,20:00:00,0.06
04/02/2011,21:00:00,0.06
04/02/2011,22:00:00,0.06
04/02/2011,23:00:00,0.06
05/02/2011,00:00:00,0.06
05/02/2011,01:00:00,0.06
05/02/2011,02:00:00,0.06
05/02/2011,03:00:00,0.06
05/02/2011,04:00:00,0.06
05/02/2011,05:00:00,0.06
05/02/2011,06:00:00,0.06
05/02/2011,07:00:00,0.06
05/02/2011,08:00:00,0.06
05/02/2011,09:00:00,0.06
05/02/2011,10:00:00,0.06
05/02/2011,11:00:00,0.06
05/02/2011,12:00:00,0.06
05/02/2011,13:00:00,0.07
05/02/2011,14:00:00,0.08
05/02/2011,15:00:00,0.10
05/02/2011,16:00:00,0.10
05/02/2011,17:00:00,0.07
05/02/2011,18:00:00,0.06
05/02/2011,19:00:00,0.06
05/02/2011,20:00:00,0.06
05/02/2011,21:00:00,0.06
05/02/2011,22:00:00,0.06
05/02/2011,23:00:00,0.06
06/02/2011,00:00:00,0.06
06/02/2011,01:00:00,0.06
06/02/2011,02:00:00,0.06
06/02/2011,03:00:00,0.06
06/02/2011,04:00:00,0.06
06/02/2011,05:00:00,0.06
06/02/2011,06:00:00,0.06
06/02/2011,07:00:00,0.06
06/02/2011,08:00:00,0.06
06/02/2011,09:00:00,0.09
06/02/2011,10:00:00,0.07
06/02/2011,11:00:00,0.10
06/02/2011,12:00:00,0.08
06/02/2011,13:00:00,0.09
06/02/2011,14:00:00,0.09
06/02/2011,15:00:00,0.06
06/02/2011,16:00:00,0.14
06/02/2011,17:00:00,0.06
06/02/2011,18:00:00,0.06
06/02/2011,19:00:00,0.06
06/02/2011,20:00:00,0.06
06/02/2011,21:00:00,0.06
06/02/2011,22:00:00,0.06
06/02/2011,23:00:00,0.07
07/02/2011,00:00:00,0.06
07/02/2011,01:00:00,0.06
07/02/2011,02:00:00,0.06
07/02/2011,03:00:00,0.06
07/02/2011,04:00:00,0.06
07/02/2011,05:00:00,0.06
07/02/2011,06:00:00,0.06
07/02/2011,07:00:00,0.06
07/02/2011,08:00:00,0.06
07/02/2011,09:00:00,0.07
07/02/2011,10:00:00,0.06
07/02/2011,11:00:00,0.10
07/02/2011,12:00:00,0.09
07/02/2011,13:00:00,0.08
07/02/2011,14:00:00,0.07
07/02/2011,15:00:00,0.06
07/02/2011,16:00:00,0.07
07/02/2011,17:00:00,0.06
07/02/2011,18:00:00,0.06
07/02/2011,19:00:00,0.06
07/02/2011,20:00:00,0.15
07/02/2011,21:00:00,0.33
07/02/2011,22:00:00,0.07
07/02/2011,23:00:00,0.07
08/02/2011,00:00:00,0.07
08/02/2011,01:00:00,0.07
08/02/2011,02:00:00,0.10
08/02/2011,03:00:00,0.08
08/02/2011,04:00:00,0.06
08/02/2011,05:00:00,0.06
08/02/2011,06:00:00,0.06
08/02/2011,07:00:00,0.06
08/02/2011,08:00:00,0.06
08/02/2011,09:00:00,0.08
08/02/2011,10:00:00,0.11
08/02/2011,11:00:00,0.17
08/02/2011,12:00:00,0.23
08/02/2011,13:00:00,0.36
08/02/2011,14:00:00,0.27
08/02/2011,15:00:00,0.35
08/02/2011,16:00:00,0.40
08/02/2011,17:00:00,0.35
08/02/2011,18:00:00,0.32
08/02/2011,19:00:00,0.29
08/02/2011,20:00:00,0.10
08/02/2011,21:00:00,0.06
08/02/2011,22:00:00,0.06
08/02/2011,23:00:00,0.07
09/02/2011,00:00:00,0.08
09/02/2011,01:00:00,0.14
09/02/2011,02:00:00,0.23
09/02/2011,03:00:00,0.15
09/02/2011,04:00:00,0.13
09/02/2011,05:00:00,0.18
09/02/2011,06:00:00,0.10
09/02/2011,07:00:00,0.10
09/02/2011,08:00:00,0.21
09/02/2011,09:00:00,0.28
09/02/2011,10:00:00,0.49
09/02/2011,11:00:00,0.43
09/02/2011,12:00:00,0.42
09/02/2011,13:00:00,0.41
09/02/2011,14:00:00,0.37
09/02/2011,15:00:00,0.43
09/02/2011,16:00:00,0.36
09/02/2011,17:00:00,0.35
