Time	IGI Airport/Nitrogen Dioxide(NO2)	IGI Airport/PM10(RPM)	IGI Airport/Ozone(OZONE)	IGI Airport/Wind Speed(Wind Speed S)	IGI Airport/Ammonia(NH3)	IGI Airport/Relative Humidity(RH)	IGI Airport/Carbon Monoxide(CO)	IGI Airport/Toluene(Toluene)	IGI Airport/Sulfur Dioxide(SO2)	IGI Airport/Temperature(Temp)	IGI Airport/Nitric Oxide(NO)	IGI Airport/PM2.5(Dust (PM2.5))	IGI Airport/Benzene(Benzene)	IGI Airport/Wind Direction (Wind Dir S)	IGI Airport/Xylene(M_P_Xylene)	IGI Airport/Bar Pressure(Bar Pressure)
01/01/2011 00:00:00	57.87		44.57	1.10	0.61	100.00		44.17	8.22	11.49	40.72		13.79	224.88	-1.74	987.53
01/01/2011 01:00:00	43.43		44.94	1.59	-1.94	100.00		25.87	7.3	11.66	20.41		17.29	254.5	0.11	987.63
01/01/2011 02:00:00	31.99		49.08	2.15	-4.16	100.00		18.58	6.38	11.58	17.69		14.37	281.79	3.29	987.61
01/01/2011 03:00:00	20.09		64.59	2.58	-6.22	100.00		12.83	3.91	11.73	16.6		9.75	282.09	4.52	987.58
01/01/2011 04:00:00	14.36		63.27	3.08	-3.09	100.00		12.25	2.13	11.23	16.14		8.91	283.7	1.78	987.64
01/01/2011 05:00:00	20.95		53.74	3.25	-3.41	96.96		8.8	4.2	10.71	16.51		3.34	303.81	3.76	988.23
01/01/2011 06:00:00	19.11		61.1	2.66	-3.0	96.86		12.9	4.41	10.52	12.76		11.01	293.01	2.48	988.79
01/01/2011 07:00:00	17.60		43.61	3.00	-4.07	96.67		12.89	3.49	10.20	17.75		4.97	320.78	2.09	989.51
01/01/2011 08:00:00	15.33		60.88	3.05	-6.16	98.53		18.38	2.64	10.26	13.56		10.54	311.44	3.04	990.28
01/01/2011 09:00:00	30.12		69.07	2.74	-3.54	91.43		20.93	2.9	11.38	16.23		7.59	292.22	5.23	991.14
01/01/2011 10:00:00	22.85		73.43	2.66	-2.93	83.12		20.11	2.47	12.18	16.03		8.46	275.49	5.11	991.38
01/01/2011 11:00:00	17.30		82.4	2.94	-2.36	75.10		14.91	5.67	13.38	16.83		8.0	273.29	5.03	990.62
01/01/2011 12:00:00	15.50		94.33	3.52	-2.48	70.06		15.61	3.56	14.83	15.63		8.53	294.71	5.78	989.65
01/01/2011 13:00:00	17.48		106.3	3.84	-3.45	67.57		18.18	7.55	15.88	13.37		10.36	296.63	5.27	988.89
01/01/2011 14:00:00	24.64		110.22	4.40	-1.39	65.61		9.88	9.48	16.43	16.49		7.67	299.79	6.14	988.21
01/01/2011 15:00:00	25.85		89.37	4.47	-3.4	65.86		13.73	8.08	16.24	28.71		9.93	298.19	5.91	987.74
01/01/2011 16:00:00	34.27		78.44	3.84	-3.39	74.05		22.62	5.05	15.16	21.98		8.85	292.83	4.08	987.43
01/01/2011 17:00:00	30.20		64.25	3.43	-1.65	83.66		21.42	4.01	13.64	14.31		7.41	286.12	5.29	987.49
01/01/2011 18:00:00	32.80		58.44	3.15	-0.67	90.67		34.66	5.82	12.15	14.81		10.53	284.23	3.62	987.82
01/01/2011 19:00:00	33.78		53.35	4.21	-2.77	94.22		29.12	6.25	11.13	18.12		9.58	295.85	4.06	988.07
01/01/2011 20:00:00	30.30		51.99	4.67	-3.75	95.68		23.9	3.18	10.50	14.49		9.29	295.39	3.77	988.30
01/01/2011 21:00:00	22.00		51.98	4.51	-2.53	94.30		20.23	6.48	10.29	14.58		7.91	305.03	5.23	988.43
01/01/2011 22:00:00	18.72		59.69	4.80	-1.56	93.33		14.6	3.82	10.01	11.02		5.81	307.41	5.18	988.41
01/01/2011 23:00:00	15.79		58.68	4.99	-2.41	93.70		13.31	2.57	9.82	17.8		5.81	294.58	4.61	987.92
02/01/2011 00:00:00	18.74		60.64	4.85	-3.08	93.17		14.13	2.55	9.50	12.56		7.37	299.79	4.86	987.52
02/01/2011 01:00:00	17.97		58.54	5.07	-4.74	93.91		10.38	5.07	9.50	13.53		4.37	291.74	5.09	987.19
02/01/2011 02:00:00	17.72		63.75	4.70	-3.46	93.72		7.58	6.71	9.71	15.34		4.65	304.09	4.35	986.77
02/01/2011 03:00:00	32.51		61.69	3.98	-3.65	91.02		8.01	6.16	10.17	17.56		9.13	293.34	4.56	986.24
02/01/2011 04:00:00	21.25		64.04	3.73	-3.63	89.91		9.31	3.61	10.52	15.17		4.45	285.49	6.39	986.02
02/01/2011 05:00:00	13.69		71.27	3.59	-3.11	88.96		8.63	2.84	10.71	12.72		6.45	280.11	6.66	986.36
02/01/2011 06:00:00	14.26		72.3	3.19	-2.62	88.93		8.83	3.05	10.77	12.63		3.0	279.29	6.79	986.98
02/01/2011 07:00:00	14.06		76.71	4.09	-4.04	85.58		9.83	3.08	11.00	12.92		4.92	286.81	6.97	987.56
02/01/2011 08:00:00	9.36		81.45	4.32	-5.86	82.58		9.78	2.7	11.33	11.88		9.12	286.22	5.65	988.61
02/01/2011 09:00:00	11.78		77.7	4.15	-4.89	79.73		8.3	2.74	11.65	12.78		4.34	277.35	6.88	989.79
02/01/2011 10:00:00	17.41		77.35	4.04	-5.69	75.37		10.5	2.81	12.09	12.93		8.12	289.54	6.17	990.25
02/01/2011 11:00:00	11.66		81.15	3.80	-4.04	72.22		11.65	3.07	12.74	13.42		6.07	300.57	6.56	989.67
